50
0;500;1;2
1;250;3;4
2;750;5;6
3;120;7;8
4;370;9;10
5;620;11;12
6;870;13;14
7;60;15;16
8;180;17;18
9;310;19;20
10;430;21;22
11;560;23;24
12;680;25;26
13;810;27;28
14;930;29;30
15;30;31;32
16;90;33;34
17;150;35;36
18;210;37;38
19;280;39;40
20;340;41;42
21;400;43;44
22;460;45;46
23;530;47;48
24;590;49;-1
25;650;-1;-1
26;710;-1;-1
27;780;-1;-1
28;840;-1;-1
29;900;-1;-1
30;960;-1;-1
31;15;-1;-1
32;45;-1;-1
33;75;-1;-1
34;105;-1;-1
35;135;-1;-1
36;165;-1;-1
37;195;-1;-1
38;225;-1;-1
39;265;-1;-1
40;295;-1;-1
41;325;-1;-1
42;355;-1;-1
43;385;-1;-1
44;415;-1;-1
45;445;-1;-1
46;475;-1;-1
47;515;-1;-1
48;545;-1;-1
49;575;-1;-1
